Time,NodeID,Alleles,STATE_MALE
0,1,Ad,0
0,1,Aw,8954
0,1,X,8954
0,1,Y,8954
1,1,Ad,0
1,1,Aw,7990
1,1,X,7990
1,1,Y,7990
2,1,Ad,0
2,1,Aw,7096
2,1,X,7096
2,1,Y,7096
3,1,Ad,0
3,1,Aw,6324
3,1,X,6324
3,1,Y,6324
4,1,Ad,0
4,1,Aw,5617
4,1,X,5617
4,1,Y,5617
5,1,Ad,0
5,1,Aw,4974
5,1,X,4974
5,1,Y,4974
6,1,Ad,0
6,1,Aw,4383
6,1,X,4383
6,1,Y,4383
7,1,Ad,0
7,1,Aw,3849
7,1,X,3849
7,1,Y,3849
8,1,Ad,0
8,1,Aw,3336
8,1,X,3336
8,1,Y,3336
9,1,Ad,0
9,1,Aw,2883
9,1,X,2883
9,1,Y,2883
10,1,Ad,0
10,1,Aw,2505
10,1,X,2505
10,1,Y,2505
11,1,Ad,0
11,1,Aw,2154
11,1,X,2154
11,1,Y,2154
12,1,Ad,0
12,1,Aw,1819
12,1,X,1819
12,1,Y,1819
13,1,Ad,0
13,1,Aw,1530
13,1,X,1530
13,1,Y,1530
14,1,Ad,0
14,1,Aw,1286
14,1,X,1286
14,1,Y,1286
15,1,Ad,0
15,1,Aw,1087
15,1,X,1087
15,1,Y,1087
16,1,Ad,0
16,1,Aw,886
16,1,X,886
16,1,Y,886
17,1,Ad,0
17,1,Aw,724
17,1,X,724
17,1,Y,724
18,1,Ad,0
18,1,Aw,607
18,1,X,607
18,1,Y,607
19,1,Ad,0
19,1,Aw,484
19,1,X,484
19,1,Y,484
20,1,Ad,0
20,1,Aw,365
20,1,X,365
20,1,Y,365
21,1,Ad,0
21,1,Aw,294
21,1,X,294
21,1,Y,294
22,1,Ad,0
22,1,Aw,35742
22,1,X,35742
22,1,Y,35742
23,1,Ad,0
23,1,Aw,65341
23,1,X,65341
23,1,Y,65341
24,1,Ad,0
24,1,Aw,88654
24,1,X,88654
24,1,Y,88654
25,1,Ad,0
25,1,Aw,80686
25,1,X,80686
25,1,Y,80686
26,1,Ad,0
26,1,Aw,74655
26,1,X,74655
26,1,Y,74655
27,1,Ad,0
27,1,Aw,69489
27,1,X,69489
27,1,Y,69489
28,1,Ad,0
28,1,Aw,64580
28,1,X,64580
28,1,Y,64580
29,1,Ad,0
29,1,Aw,59434
29,1,X,59434
29,1,Y,59434
30,1,Ad,0
30,1,Aw,54834
30,1,X,54834
30,1,Y,54834
31,1,Ad,0
31,1,Aw,50366
31,1,X,50366
31,1,Y,50366
32,1,Ad,0
32,1,Aw,45723
32,1,X,45723
32,1,Y,45723
33,1,Ad,0
33,1,Aw,41006
33,1,X,41006
33,1,Y,41006
34,1,Ad,0
34,1,Aw,36834
34,1,X,36834
34,1,Y,36834
35,1,Ad,0
35,1,Aw,32848
35,1,X,32848
35,1,Y,32848
36,1,Ad,0
36,1,Aw,29079
36,1,X,29079
36,1,Y,29079
37,1,Ad,0
37,1,Aw,25703
37,1,X,25703
37,1,Y,25703
38,1,Ad,0
38,1,Aw,22595
38,1,X,22595
38,1,Y,22595
39,1,Ad,0
39,1,Aw,19717
39,1,X,19717
39,1,Y,19717
40,1,Ad,0
40,1,Aw,17138
40,1,X,17138
40,1,Y,17138
41,1,Ad,0
41,1,Aw,14833
41,1,X,14833
41,1,Y,14833
42,1,Ad,0
42,1,Aw,12810
42,1,X,12810
42,1,Y,12810
43,1,Ad,0
43,1,Aw,10973
43,1,X,10973
43,1,Y,10973
44,1,Ad,0
44,1,Aw,9402
44,1,X,9402
44,1,Y,9402
45,1,Ad,0
45,1,Aw,7984
45,1,X,7984
45,1,Y,7984
46,1,Ad,0
46,1,Aw,6724
46,1,X,6724
46,1,Y,6724
47,1,Ad,0
47,1,Aw,5747
47,1,X,5747
47,1,Y,5747
48,1,Ad,0
48,1,Aw,19069
48,1,X,19069
48,1,Y,19069
49,1,Ad,0
49,1,Aw,40892
49,1,X,40892
49,1,Y,40892
50,1,Ad,0
50,1,Aw,69387
50,1,X,69387
50,1,Y,69387
51,1,Ad,0
51,1,Aw,90797
51,1,X,90797
51,1,Y,90797
52,1,Ad,0
52,1,Aw,107173
52,1,X,107173
52,1,Y,107173
53,1,Ad,0
53,1,Aw,105073
53,1,X,105073
53,1,Y,105073
54,1,Ad,0
54,1,Aw,104146
54,1,X,104146
54,1,Y,104146
55,1,Ad,0
55,1,Aw,103312
55,1,X,103312
55,1,Y,103312
56,1,Ad,0
56,1,Aw,102082
56,1,X,102082
56,1,Y,102082
57,1,Ad,0
57,1,Aw,100732
57,1,X,100732
57,1,Y,100732
58,1,Ad,0
58,1,Aw,99702
58,1,X,99702
58,1,Y,99702
59,1,Ad,0
59,1,Aw,98542
59,1,X,98542
59,1,Y,98542
60,1,Ad,0
60,1,Aw,97349
60,1,X,97349
60,1,Y,97349
61,1,Ad,0
61,1,Aw,95841
61,1,X,95841
61,1,Y,95841
62,1,Ad,0
62,1,Aw,93642
62,1,X,93642
62,1,Y,93642
63,1,Ad,0
63,1,Aw,89839
63,1,X,89839
63,1,Y,89839
64,1,Ad,0
64,1,Aw,85641
64,1,X,85641
64,1,Y,85641
65,1,Ad,0
65,1,Aw,80477
65,1,X,80477
65,1,Y,80477
66,1,Ad,0
66,1,Aw,75251
66,1,X,75251
66,1,Y,75251
67,1,Ad,0
67,1,Aw,70509
67,1,X,70509
67,1,Y,70509
68,1,Ad,0
68,1,Aw,65034
68,1,X,65034
68,1,Y,65034
69,1,Ad,0
69,1,Aw,59565
69,1,X,59565
69,1,Y,59565
70,1,Ad,0
70,1,Aw,54539
70,1,X,54539
70,1,Y,54539
71,1,Ad,0
71,1,Aw,49413
71,1,X,49413
71,1,Y,49413
72,1,Ad,0
72,1,Aw,44646
72,1,X,44646
72,1,Y,44646
73,1,Ad,0
73,1,Aw,39960
73,1,X,39960
73,1,Y,39960
74,1,Ad,0
74,1,Aw,41663
74,1,X,41663
74,1,Y,41663
75,1,Ad,0
75,1,Aw,50951
75,1,X,50951
75,1,Y,50951
76,1,Ad,0
76,1,Aw,70274
76,1,X,70274
76,1,Y,70274
77,1,Ad,0
77,1,Aw,95391
77,1,X,95391
77,1,Y,95391
78,1,Ad,0
78,1,Aw,106531
78,1,X,106531
78,1,Y,106531
79,1,Ad,0
79,1,Aw,105402
79,1,X,105402
79,1,Y,105402
80,1,Ad,0
80,1,Aw,105147
80,1,X,105147
80,1,Y,105147
81,1,Ad,0
81,1,Aw,104721
81,1,X,104721
81,1,Y,104721
82,1,Ad,0
82,1,Aw,104001
82,1,X,104001
82,1,Y,104001
83,1,Ad,0
83,1,Aw,103097
83,1,X,103097
83,1,Y,103097
84,1,Ad,0
84,1,Aw,101970
84,1,X,101970
84,1,Y,101970
85,1,Ad,0
85,1,Aw,101306
85,1,X,101306
85,1,Y,101306
86,1,Ad,0
86,1,Aw,100153
86,1,X,100153
86,1,Y,100153
87,1,Ad,0
87,1,Aw,99244
87,1,X,99244
87,1,Y,99244
88,1,Ad,0
88,1,Aw,98048
88,1,X,98048
88,1,Y,98048
89,1,Ad,0
89,1,Aw,96643
89,1,X,96643
89,1,Y,96643
90,1,Ad,0
90,1,Aw,95290
90,1,X,95290
90,1,Y,95290
91,1,Ad,0
91,1,Aw,94190
91,1,X,94190
91,1,Y,94190
92,1,Ad,0
92,1,Aw,94064
92,1,X,94064
92,1,Y,94064
93,1,Ad,0
93,1,Aw,95483
93,1,X,95483
93,1,Y,95483
94,1,Ad,0
94,1,Aw,98674
94,1,X,98674
94,1,Y,98674
95,1,Ad,0
95,1,Aw,102409
95,1,X,102409
95,1,Y,102409
96,1,Ad,0
96,1,Aw,103551
96,1,X,103551
96,1,Y,103551
97,1,Ad,0
97,1,Aw,102827
97,1,X,102827
97,1,Y,102827
98,1,Ad,0
98,1,Aw,102565
98,1,X,102565
98,1,Y,102565
99,1,Ad,0
99,1,Aw,102226
99,1,X,102226
99,1,Y,102226
100,1,Ad,0
100,1,Aw,101791
100,1,X,101791
100,1,Y,101791
101,1,Ad,0
101,1,Aw,101441
101,1,X,101441
101,1,Y,101441
102,1,Ad,0
102,1,Aw,101197
102,1,X,101197
102,1,Y,101197
103,1,Ad,0
103,1,Aw,101012
103,1,X,101012
103,1,Y,101012
104,1,Ad,0
104,1,Aw,100832
104,1,X,100832
104,1,Y,100832
105,1,Ad,0
105,1,Aw,100618
105,1,X,100618
105,1,Y,100618
106,1,Ad,0
106,1,Aw,100409
106,1,X,100409
106,1,Y,100409
107,1,Ad,0
107,1,Aw,100088
107,1,X,100088
107,1,Y,100088
108,1,Ad,0
108,1,Aw,100034
108,1,X,100034
108,1,Y,100034
109,1,Ad,0
109,1,Aw,99757
109,1,X,99757
109,1,Y,99757
110,1,Ad,0
110,1,Aw,99854
110,1,X,99854
110,1,Y,99854
111,1,Ad,0
111,1,Aw,100174
111,1,X,100174
111,1,Y,100174
112,1,Ad,0
112,1,Aw,100761
112,1,X,100761
112,1,Y,100761
113,1,Ad,0
113,1,Aw,101325
113,1,X,101325
113,1,Y,101325
114,1,Ad,0
114,1,Aw,101334
114,1,X,101334
114,1,Y,101334
115,1,Ad,0
115,1,Aw,101340
115,1,X,101340
