Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_IMMATURE,STATE_LARVA,STATE_EGG
0,340461476,X-a0:X-a0,2253,0,0,2253,0,0,73625
0,340461476,X-a0:X-a1,2240,0,0,2240,0,0,74625
0,340461476,X-a1:X-a0,2242,0,0,2242,0,0,75625
0,340461476,X-a1:X-a1,2269,0,0,2269,0,0,76725
1,340461476,X-a0:X-a0,2050,0,0,2050,0,22866,69800
1,340461476,X-a0:X-a1,2053,0,0,2053,0,23056,67000
1,340461476,X-a1:X-a0,2043,0,0,2043,0,23586,68600
1,340461476,X-a1:X-a1,2065,0,0,2065,0,23734,67100
2,340461476,X-a0:X-a0,1845,0,0,1845,0,30429,61300
2,340461476,X-a0:X-a1,1833,0,0,1833,0,30356,63000
2,340461476,X-a1:X-a0,1833,0,0,1833,0,31142,61700
2,340461476,X-a1:X-a1,1887,0,0,1887,0,31090,63600
3,340461476,X-a0:X-a0,1643,0,0,1643,0,38198,53525
3,340461476,X-a0:X-a1,1669,0,0,1669,0,38409,55225
3,340461476,X-a1:X-a0,1635,0,0,1635,0,38866,55625
3,340461476,X-a1:X-a1,1707,0,0,1707,0,38976,57625
4,340461476,X-a0:X-a0,1481,0,0,1481,0,44409,50925
4,340461476,X-a0:X-a1,1516,0,0,1516,0,45084,48425
4,340461476,X-a1:X-a0,1473,0,0,1473,0,45539,51425
4,340461476,X-a1:X-a1,1523,0,0,1523,0,45974,49225
5,340461476,X-a0:X-a0,1336,0,0,1336,0,50768,44500
5,340461476,X-a0:X-a1,1390,0,0,1390,0,50621,46450
5,340461476,X-a1:X-a0,1324,0,0,1324,0,51901,45550
5,340461476,X-a1:X-a1,1393,0,0,1393,0,51865,47100
6,340461476,X-a0:X-a0,1211,0,0,1211,0,55918,41150
6,340461476,X-a0:X-a1,1256,0,0,1256,0,56328,41050
6,340461476,X-a1:X-a0,1179,0,0,1179,0,57027,39850
6,340461476,X-a1:X-a1,1226,0,0,1226,0,57209,41350
7,340461476,X-a0:X-a0,1108,0,0,1108,0,60527,38550
7,340461476,X-a0:X-a1,1113,0,0,1113,0,60920,35150
7,340461476,X-a1:X-a0,1075,0,0,1075,0,61269,38050
7,340461476,X-a1:X-a1,1122,0,0,1122,0,61888,36150
8,340461476,X-a0:X-a0,988,0,0,988,0,65532,32200
8,340461476,X-a0:X-a1,994,0,0,994,0,64881,33300
8,340461476,X-a1:X-a0,965,0,0,965,0,65528,33100
8,340461476,X-a1:X-a1,1015,0,0,1015,0,65972,34800
9,340461476,X-a0:X-a0,883,0,0,883,0,68842,31150
9,340461476,X-a0:X-a1,894,0,0,894,0,68413,30800
9,340461476,X-a1:X-a0,875,0,0,875,0,69124,29550
9,340461476,X-a1:X-a1,910,0,0,910,0,69846,30600
10,340461476,X-a0:X-a0,800,0,0,800,0,72345,27850
10,340461476,X-a0:X-a1,808,0,0,808,0,71788,24350
10,340461476,X-a1:X-a0,789,0,0,789,0,72044,27400
10,340461476,X-a1:X-a1,816,0,0,816,0,73067,26000
11,340461476,X-a0:X-a0,724,0,0,724,0,75686,23375
11,340461476,X-a0:X-a1,723,0,0,723,0,73814,24675
11,340461476,X-a1:X-a0,723,0,0,723,0,75156,23375
11,340461476,X-a1:X-a1,727,0,0,727,0,75592,26175
12,340461476,X-a0:X-a0,649,0,0,649,7589,69976,22800
12,340461476,X-a0:X-a1,656,0,0,656,7554,69108,22950
12,340461476,X-a1:X-a0,653,0,0,653,7702,69667,21150
12,340461476,X-a1:X-a1,654,0,0,654,7933,70674,22100
13,340461476,X-a0:X-a0,601,0,0,601,10215,77717,20325
13,340461476,X-a0:X-a1,593,0,0,593,9974,77220,18725
13,340461476,X-a1:X-a0,598,0,0,598,10233,76242,20175
13,340461476,X-a1:X-a1,592,0,0,592,10362,78030,18975
14,340461476,X-a0:X-a0,547,0,0,547,12741,79547,16975
14,340461476,X-a0:X-a1,534,0,0,534,12572,77884,18525
14,340461476,X-a1:X-a0,547,0,0,547,12839,77717,17425
